ano_assinatura_contrato;codigo_orgao_entidade_contratante;nome_orgao_entidade_contratante;indicador_fornecedor_estrangeiro;nome_empresarial_nome_fornecedor;nome_empresarial_nome_fornecedor_1;cnpj_cpf_fornecedor_formatado;nome_empresarial_nome_fornecedor_2;nome_empresarial_nome_fornecedor_3;tipo_pessoa_fornecedor;numero_processo_formatado;numero_contrato;contrato;indicador_termo_de_contrato;situacao_contrato;descricao_tipo_de_contrato;objeto_contrato;unnamed_17;unnamed_18;unnamed_19;unnamed_20;unnamed_21;unnamed_22;unnamed_23;unnamed_24;unnamed_25;unnamed_26;unnamed_27;unnamed_28;unnamed_29;unnamed_30;unnamed_31;unnamed_32;unnamed_33;unnamed_34;unnamed_35;unnamed_36;unnamed_37;unnamed_38;unnamed_39;unnamed_40;unnamed_41;unnamed_42;unnamed_43;unnamed_44;unnamed_45;unnamed_46;unnamed_47;unnamed_48;unnamed_49;unnamed_50;unnamed_51;unnamed_52;data_assinatura_contrato;data_inicio_vigencia_contrato;data_termino_vigencia_contrato;procedimento_contratacao_grupo;procedimento_contratacao_detalhamento_1;procedimento_contratacao_especializacao;edital_retificacao_arquivos;contrato_termoaditivo_arquivos;valor_total_atualizado;valor_despesa_empenhada;valor_despesa_liquidada
2013,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;PLANEX S/A CONSULTORIA DE PLANEJAMENTO E EXECUCAO;PLANEX S/A CONSULTORIA DE PLANEJAMENTO E EXECUCAO;17.453.978/0001-01;PLANEX S/A CONSULTORIA DE PLANEJAMENTO E EXECUCAO;PLANEX S/A CONSULTORIA DE PLANEJAMENTO E EXECUCAO;PESSOA JURÍDICA;2301520 000070/2012;5821;;SIM;Rescindido;Obra;"PRC- 24.009/13 - Serviços de Apoio à Supervisão de Obras Rodoviárias dos trechos constantes do LOTE 03 e  nos trechos: Contorno de Andradas; Entrº LMG/827 (para Bambuí)  -  Entrº MG/341 (para Piumhi); Nova Resende  -  Bom Jesus da Penha; Luz  -  Esteios  -  Lagoa da Prata  e OAE; Pimenta  -  Entrº BR/265 (Guapé) e OAE; Cordislândia  -  Carvalhópolis; Medeiros  -  Pratinha. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2013-04-10;2013-04-16;2018-04-16;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=153118;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=50471;23165595,84;6690407,67;6690407,67
2014,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;CRC ENGENHARIA S/A;CRC ENGENHARIA S/A;73.878.969/0001-33;CRC ENGENHARIA S/A;CRC ENGENHARIA S/A;PESSOA JURÍDICA;2301762 000011/2014;6101;PRC-22.013/2014;SIM;Rescindido;Obra;"EXECUÇÃO DE OBRAS E SERVIÇOS DE MANUTENÇÃO RODOVIÁRIA DO TIPO CONSERVAÇÃO CORRETIVA VISANDO A RECUPERAÇÃO DO CORPO ESTRADAL DANIFICADO EM PONTOS LOCALIZADOS NOS TRECHOS DE  RODOVIAS DISCRIMINADAS, NO OBJETO CONTRATUAL, PERTENCENTES À CIRCUNSCRIÇÃO DA 28ª CRG DO DER/MG - TEÓFILO OTONI E DA 29ª CRG DO DER/MG - MANHUMIRIM, INCLUÍDOS NO PROGRAMA MINAS LOGÍSTICA, NA AÇÃO ""RECUPERAÇÃO E MANUTENÇÃO DA MALHA  VIÁRIA PAVIMENTADA E NÃO PAVIMENTADA"" E ESTÃO CONTEMPLADOS NO DO PLANO PLURIANUAL DE AÇÃO GOVERNAMENTAL, PPAG.  PRC-22.013/14  CRC ENGENHARIA LTDA.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2014-09-23;2014-09-30;2021-09-30;Obras e serviços de engenharia - Lei nº 8.666/93;Outras Contratações;Outras Contratações - Recadastramento de processos;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=93539;39996674,7;37064851,61;37064851,61
2016,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;POLIGRAPH SISTEMAS E REPRESENTACOES LTDA;POLIGRAPH SISTEMAS E REPRESENTACOES LTDA;85.200.665/0001-00;POLIGRAPH SISTEMAS E REPRESENTACOES LTDA;POLIGRAPH SISTEMAS E REPRESENTACOES LTDA;PESSOA JURÍDICA;2301403 000052/2015;9073557;PRC-29.012/2016-D;SIM;Encerrado;Serviço;Contrato PRC 29.012/2016  SERVIÇOS ESPECIALIZADOS NA ÁREA DE TECNOLOGIA DA INFORMAÇÃO DE NATUREZA CONTINUA( CONFORME INCISO IV DO ART. 57 LEI 8.666/93), PRESTAÇÃO DE SERVIÇOS DE SUPORTE  TÉCNICO REMOTO, E MANUTENÇÃO CORRETIVA, EVOLUTIVA, E ELETIVA DE APLICATIVOS JÁ IMPLANTADOS NO AMBITO DO SGIV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-07-07;2016-07-12;2021-07-11;Bens e serviços - Lei nº 8.666/93 ou 10.520/02;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=321657;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=143450;15590201,33;15495909,71;15495909,71
2017,0;1300,0;SECRET. DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;NÃO;CONSOL - ENGENHEIROS CONSULTORES LTDA;CONSOL - ENGENHEIROS CONSULTORES LTDA;17.210.063/0001-75;CONSOL - ENGENHEIROS CONSULTORES LTDA;CONSOL - ENGENHEIROS CONSULTORES LTDA;PESSOA JURÍDICA;1301606 000001/2021;9340393;DP-001/2022;SIM;Encerrado;Obra;"CONTRATO DP-001/2022  ELABORAÇÃO DE PROJETO DE ENGENHARIA RODOVIÁRIA PARA MELHORAMENTO, PAVIMENTAÇÃO E OAE DOS TRECHOS A SEGUIR IDENTIFICADOS: RODOVIA - MUNICIPAL; TRECHO: JABUTICATUBAS - LAGOA SANTA, INCLUÍDO NO PPAG .";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-07-26;2022-04-08;2025-08-05;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=534163;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=175038;867524,78;729589,7;729589,7
2017,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;ASEL CONSTRUCOES RODOVIARIAS LTDA;ASEL CONSTRUCOES RODOVIARIAS LTDA;20.966.503/0001-23;ASEL CONSTRUCOES RODOVIARIAS LTDA;ASEL CONSTRUCOES RODOVIARIAS LTDA;PESSOA JURÍDICA;2301762 000034/2017;9178156;PRC-22.043/2017-B;SIM;Encerrado;Obra;PRC-22.043/17 - Execução dos serviços de manutenção rodoviária, conservação rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal e seus dispositivos. A execução dos serviços descritos está restrita ao âmbito de circunscrição da 39ª RRG - João Pinheiro / Noroeste, do DEER/MG.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-12-21;2017-12-28;2024-05-31;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=421319;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=152227;36605251,11;32798938,13;32798938,13
2017,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;ASEL CONSTRUCOES RODOVIARIAS LTDA;ASEL CONSTRUCOES RODOVIARIAS LTDA;20.966.503/0001-23;ASEL CONSTRUCOES RODOVIARIAS LTDA;ASEL CONSTRUCOES RODOVIARIAS LTDA;PESSOA JURÍDICA;2301762 000034/2017;9178156;PRC-22.043/2017-C;SIM;Encerrado;Obra;PRC-22.043/17 - Execução dos serviços de manutenção rodoviária, conservação rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal e seus dispositivos. A execução dos serviços descritos está restrita ao âmbito de circunscrição da 39ª RRG - João Pinheiro / Noroeste, do DEER/MG.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-12-21;2017-12-28;2024-05-31;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=421319;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=152227;36605251,11;32798938,13;32798938,13
2017,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;ASEL CONSTRUCOES RODOVIARIAS LTDA;ASEL CONSTRUCOES RODOVIARIAS LTDA;20.966.503/0001-23;ASEL CONSTRUCOES RODOVIARIAS LTDA;ASEL CONSTRUCOES RODOVIARIAS LTDA;PESSOA JURÍDICA;2301762 000034/2017;9178156;PRC-22.043/2017-D;SIM;Encerrado;Obra;PRC-22.043/17 - Execução dos serviços de manutenção rodoviária, conservação rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal e seus dispositivos. A execução dos serviços descritos está restrita ao âmbito de circunscrição da 39ª RRG - João Pinheiro / Noroeste, do DEER/MG.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-12-21;2017-12-28;2024-05-31;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=421319;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=152227;36605251,11;32798938,13;32798938,13
2017,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;ASEL CONSTRUCOES RODOVIARIAS LTDA;ASEL CONSTRUCOES RODOVIARIAS LTDA;20.966.503/0001-23;ASEL CONSTRUCOES RODOVIARIAS LTDA;ASEL CONSTRUCOES RODOVIARIAS LTDA;PESSOA JURÍDICA;2301762 000034/2017;9178156;PRC-22.043/2017-E;SIM;Encerrado;Obra;PRC-22.043/17 - Execução dos serviços de manutenção rodoviária, conservação rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal e seus dispositivos. A execução dos serviços descritos está restrita ao âmbito de circunscrição da 39ª RRG - João Pinheiro / Noroeste, do DEER/MG.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-12-21;2017-12-28;2024-05-31;Obras e serviços de engenharia - Lei nº 8.666/93;Concorrência;Concorrência;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=421319;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=152227;36605251,11;32798938,13;32798938,13
2017,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;ASEL CONSTRUCOES RODOVIARIAS LTDA;ASEL CONSTRUCOES RODOVIARIAS LTDA;20.966.503/0001-23;ASEL CONSTRUCOES RODOVIARIAS LTDA;ASEL CONSTRUCOES RODOVIARIAS LTDA;PESSOA JURÍDICA;2301762 000041/2017;9159186;PRC-22.019/2017-C;SIM;Encerrado;Obra;Contrato PRC 22.019/2017 Serviços de manutenção rodoviária, conservação rotineira e periódica, serviços de urgência e pequenos melhoramentos bem como reparação do corpo estradal e seus dispositivos. A execução dos serviços descritos está restrita ao âmbito de circunscrição da 33ª RRG do DEER/MG - Pirapora/Norte. - PPAG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-09-14;2017-09-22;2024-01-31;Obras e serviços de engenharia - Lei nº 8.666/93;Outras Contratações;Outras Contratações - Recadastramento de processos;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=150264;24444458,72;22820695,75;22820695,75
2017,0;2300,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM;NÃO;ASEL CONSTRUCOES RODOVIARIAS LTDA;ASEL CONSTRUCOES RODOVIARIAS LTDA;20.966.503/0001-23;ASEL CONSTRUCOES RODOVIARIAS LTDA;ASEL CONSTRUCOES RODOVIARIAS LTDA;PESSOA JURÍDICA;2301762 000041/2017;9159186;PRC-22.019/2017-D;SIM;Encerrado;Obra;Contrato PRC 22.019/2017 Serviços de manutenção rodoviária, conservação rotineira e periódica, serviços de urgência e pequenos melhoramentos bem como reparação do corpo estradal e seus dispositivos. A execução dos serviços descritos está restrita ao âmbito de circunscrição da 33ª RRG do DEER/MG - Pirapora/Norte. - PPAG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-09-14;2017-09-22;2024-01-31;Obras e serviços de engenharia - Lei nº 8.666/93;Outras Contratações;Outras Contratações - Recadastramento de processos;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=150264;24444458,72;22820695,75;22820695,75
